id,name,party,party_n,state,description1,description2,source,twitter,facebook,instagram
11,Ataídes Oliveira,PSDB,45,TO,"Ataídes de Oliveira (Estrela do Norte, 18 de dezembro de 1959) é um empresário e político brasileiro. É empresário do ramo de consórcios, construção civil e revenda de veículos em Tocantins. ","Elegeu-se nas eleições de 2010 como primeiro suplente de senador de João Ribeiro. Com a morte do titular, assumiu definitivamente a cadeira de senador em 23 de dezembro de 2013, cujo mandato irá até 31 de janeiro de 2019.",Wikipédia,senador_ataides,SenadorAtaidesOliveira,
12,Benedito de Lira,PP,11,AL,"Benedito de Lira (Junqueiro, 1 de maio de 1942) é um político brasileiro de Alagoas filiado ao Partido Progressista e senador desde 2011.","É pai do deputado federal Arthur Lira e formado em Direito pela Universidade Federal de Alagoas. Em 2010, foi eleito senador com 904.345 votos válidos, representando 35,94%.",Wikipédia,biudelira,BeneditodeLira,biudelira
13,Cássio Cunha Lima,PSDB,45,PB,"Cássio Rodrigues da Cunha Lima (Campina Grande, 5 de abril de 1963) é um advogado e político brasileiro, filiado ao Partido da Social Democracia Brasileira. Já foi prefeito de Campina Grande por três vezes, deputado federal por dois mandatos e governador da Paraíba por duas vezes.",Formado em Direito pela Faculdade de Ciências Jurídicas da Universidade Estadual da Paraíba. Iniciou a sua trajetória política como representante dos estudantes secundaristas na luta pela anistia.,Wikipédia,cassiocl,cassiocunhalima,cassiocl_
14,Cidinho Santos,PR,22,MT,"José Aparecido dos Santos (Janiópolis, 19 de junho de 1968) é empresário e político brasileiro, filiado ao PR. Foi prefeito de Nova Marilândia (MT), por três mandatos. Presidiu a Associação Mato-grossense dos Municípios.","Nas eleições de 2010, foi eleito primeiro suplente de Blairo Maggi ao Senado. Assumiu o cargo em diversas oportunidades, sendo a última em virtude da nomeação de Maggi para ocupar o Ministério da Agricultura, Pecuária e Abastecimento do governo Michel Temer.",Wikipédia,cidinho_santos,CidinhoSantos.br,cidinhosantos
15,Ciro Nogueira,PP,11,PI,"Ciro Nogueira Lima Filho (Teresina, 21 de novembro de 1968) é um advogado, empresário e político brasileiro. Exerce atualmente o seu primeiro mandato de senador pelo Piauí e a presidência nacional do PP.","Filho de Ciro Nogueira Lima e Eliane e Silva Nogueira Lima, é advogado formado pela Pontifícia Universidade Católica do Rio de Janeiro tendo iniciado sua vida pública como herdeiro de uma família com larga tradição política no Piauí.",Wikipédia,ciro_nogueira,cironogueira,cironogueira
16,Cristovam Buarque,PPS,23,DF,"Cristovam Ricardo Cavalcanti Buarque (Recife, 20 de fevereiro de 1944) é um engenheiro mecânico, economista, educador, professor universitário e político brasileiro filiado ao Partido Popular Socialista. É o criador da Bolsa-Escola, que foi implantada pela primeira vez em seu governo no Distrito Federal.","Foi reitor da Universidade de Brasília de 1985 a 1989. Foi governador do Distrito Federal de 1995 a 1998. Foi eleito senador pelo Distrito Federal em 2002. Foi Ministro da Educação entre 2003 e 2004, no primeiro mandato de Lula.",Wikipédia,sen_cristovam,Cristovam.Buarque,buarquecristovam
17,Dalirio Beber,PSDB,45,SC,"Dalírio José Beber (Massaranduba, 16 de abril de 1949) é um advogado, empresário e político brasileiro, filiado ao Partido da Social Democracia Brasileira.","Formado em direito pela Fundação Universidade Regional de Blumenau, exerceu na prefeitura de Blumenau os cargos de secretário da fazenda e de administração, nos mandatos dos prefeitos Dalto dos Reis e Renato de Mello Vianna.",Wikipédia,daliriobeber,senadordaliriobeber,
18,Dário Berger,PMDB,15,SC,"Dário Elias Berger (Bom Retiro, 7 de dezembro de 1956) é um político brasileiro, filiado ao Partido do Movimento Democrático Brasileiro. Atualmente é senador da República pelo estado de Santa Catarina.","Dário é ex-prefeito de Florianópolis e irmão do também ex-prefeito de São José Djalma Berger, ex-deputado-federal, ex-deputado estadual e ex-secretário municipal de Obras de São José e de Florianópolis.",Wikipédia,darioberger,DarioEliasBerger,dariobergersenador
19,Davi Alcolumbre,DEM,25,AP,"David Samuel Alcolumbre Tobelem, ou apenas Davi Alcolumbre (Macapá, 19 de junho de 1977), é um político brasileiro. Foi vereador em Macapá de 2001 a 2003 quando ainda era filiado ao PDT. Atualmente está no Democratas.","Em 2002 foi eleito deputado federal pelo estado do Amapá, sendo reeleito em 2006 e 2010. Davi Alcolumbre foi candidato ao Senado nas eleições de 2014 e foi eleito com 36,26% dos votos, vencendo o favorito ex-senador Gilvam Borges.",Wikipédia,davialcolumbre,davi.alcolumbre,davialcolumbre
20,Deca,PSDB,45,PB,"José Gonzaga Sobrinho (Uiraúna, 21 de outubro de 1957), mais conhecido como Deca do Atacadão ou simplesmente Deca, é um empresário e político brasileiro. Foi eleito em 2010 primeiro suplente do senador Cássio Cunha Lima (PSDB).","É fundador do grupo Atacadão Rio do Peixe, com origem em Cajazeiras (PB), composto por empresas dos setores de atacado, distribuição e varejo, concessionárias de automóveis e lojas de eletrodomésticos.",Wikipédia,senadordeca,senadordeca,senadordeca
21,Edison Lobão,PMDB,15,MA,"Edison Lobão (Mirador, 5 de dezembro de 1936) é um jornalista e político brasileiro, filiado ao Partido do Movimento Democrático Brasileiro.  Atualmente é senador e presidente da Comissão de Constituição, Justiça e Cidadania (CCJ) no Senado.",Foi governador do Maranhão de 1991 a 1994. Foi ministro de Minas e Energia do Brasil no segundo mandato do governo Lula e durante todo o primeiro mandato da presidente Dilma Rousseff.,Wikipédia,senadorlobao,senadoredisonlobao,
22,Eduardo Amorim,PSDB,45,SE,"Eduardo Alves do Amorim (Itabaiana, 17 de maio de 1963) é um político brasileiro e médico formado pela Universidade Federal de Sergipe. Fez residência em Anestesiologia em Campinas (SP)","Em 2010, formou-se na Universidade Tiradentes, tornando-se Bacharel em Direito. Até fevereiro de 2017, estava filiado ao PSC.",Wikipédia,eduardoamorimse,eduardoamorimse,eduardoamorimse
23,Eduardo Braga,PMDB,15,AM,"Carlos Eduardo de Sousa Braga (Belém, 6 de dezembro de 1960) é um empresário e político brasileiro filiado ao Partido do Movimento Democrático Brasileiro e atual senador da República. Entre outros cargos, foi prefeito de Manaus, governador do Amazonas e ministro de Minas e Energia.","Nasceu na cidade de Belém, no Estado do Pará, em 6 de dezembro de 1960. É formado em Engenharia Elétrica pela Universidade Federal do Amazonas, Braga é empresário do setor de revenda de automóveis.",Wikipédia,eduardobraga_am,EduardoBraga15,eduardobraga_am
24,Eduardo Lopes,PRB,10,RJ,"Eduardo Benedito Lopes (Santo André, 19 de setembro de 1964) é um radialista e político brasileiro, filiado ao Partido Republicano Brasileiro. Foi diretor-presidente do Jornal ""Folha Universal"" e da Editora Gráfica Universal.","Com a vitória de Marcelo Crivella na campanha para a Prefeitura do Rio, Eduardo Lopes assumiu definitivamente o mandato de senador. Lopes é bacharel em Teologia.",Wikipédia,eduardolopesprb,eduardolopesprb,eduardolopesprb
25,Elmano Férrer,PMDB,15,PI,"Elmano Férrer de Almeida (Lavras da Mangabeira, 1 de agosto de 1942) é um político brasileiro. Filiado ao Partido do Movimento Democrático Brasileiro, foi eleito senador da República pelo Piauí em 2014.","Em janeiro de 2017, deixou o Partido Trabalhista Brasileiro e ingressou no PMDB.",Wikipédia,elmanoferrer,elmanoferreroficial,elmanoferreroficial
26,Eunício Oliveira,PMDB,15,CE,"Eunício Lopes de Oliveira (Lavras da Mangabeira, 30 de setembro de 1952) é um político, agropecuarista e empresário brasileiro. Filiado ao PMDB, é senador da República pelo Ceará e atual presidente do Senado Federal do Brasil.","Foi eleito presidente do Senado em fevereiro de 2017, vencendo o concorrente José Medeiros (PSD-MT) por 61 a 10 votos.",Wikipédia,eunicio,Eun%C3%ADcio-Oliveira-147474322001734,euniciooliveira
27,Fátima Bezerra,PT ,13,RN,"Maria de Fátima Bezerra (Nova Palmeira, 19 de maio de 1955) é uma pedagoga e política brasileira, filiada ao Partido dos Trabalhadores. ",Durante sua carreira política já foi deputada estadual do Rio Grande do Norte por dois mandatos e eleita três vezes deputada federal pelo Rio Grande do Norte.,Wikipédia,fatimabezerra,FatimaBezerra13,fatimabezerra13
28,Fernando Bezerra Coelho,PSB,40,PE,"Fernando Bezerra de Sousa Coelho (Petrolina, 7 de dezembro de 1957) é um administrador de empresas pela Fundação Getúlio Vargas e político brasileiro, filiado ao Partido Socialista Brasileiro.","Em janeiro de 2011, no governo Dilma Rousseff, foi ministro da Integração Nacional. É pai de Fernando Coelho Filho, ministro de Minas e Energia no governo Michel Temer.",Wikipédia,fbezerracoelho,fernando.bezerracoelho,fbezerracoelho
29,Fernando Collor,PTC,36,AL,"Fernando Affonso Collor de Mello, mais conhecido como Fernando Collor de Mello ou simplesmente Fernando Collor, (Rio de Janeiro, 12 de agosto de 1949) é um político, jornalista, economista, empresário e escritor brasileiro.","Foi o presidente mais jovem da história do Brasil, eleito aos 40 anos de idade. Renunciou à Presidência da República em 29 de dezembro de 1992, horas antes de ser condenado pelo Senado por crime de responsabilidade, perdendo os direitos políticos por oito anos.",Wikipédia,collor,colloralagoas,fernando_collor
30,Flexa Ribeiro,PSDB,45,PA,"Fernando de Souza Flexa Ribeiro (Belém, 12 de setembro de 1945) é um engenheiro civil, empresário da construção civil e político brasileiro.",Presidiu o Sindicato da Indústria da Construção do Estado do Pará (Sinduscon/PA) e a Federação das Indústrias do Estado do Pará (Fiepa). Também foi diretor da Confederação Nacional da Indústria.,Wikipédia,senadorflexa,senadorflexaribeiro,senador_flexa_ribeiro
31,Garibaldi Alves Filho,PMDB,15,RN,"Garibaldi Alves Filho (Natal, 4 de fevereiro de 1947) é um jornalista, advogado e político brasileiro.","É de influente família do Rio Grande do Norte, com participação ativa na política. Foi ministro da Previdência Social durante o governo de Dilma Rousseff.",Wikipédia,garibaldifilho,SenadorGaribaldiAlves,
32,Gladson Cameli,PP,11,AC,"Gladson de Lima Cameli (Cruzeiro do Sul, 26 de março de 1978) é um engenheiro, empresário e político brasileiro, filiado ao Partido Progressista. Atualmente é senador eleito pelo estado do Acre.",Foi filiado ao PFL durante (2000-2003) e ao PPS durante (2003-2005). Atualmente está no Partido Progressista.,Wikipédia,gladsoncameli,GladsonCameli,gladsoncameli
33,Gleisi Hoffmann,PT,13,PR,"Gleisi Helena Hoffmann (Curitiba, 6 de setembro de 1965) é uma advogada e política brasileira. Atualmente, exerce o mandato de senadora da República pelo Paraná e de Presidente Nacional do Partido dos Trabalhadores.","Foi ministra-chefe da Casa Civil no primeiro governo de Dilma Rousseff de 2011 a 2014. Em 2016, presidiu a Comissão de Assuntos Econômicos do Senado. É casada com o também político Paulo Bernardo.",Wikipédia,gleisi,gleisi.hoffmann,gleisihoffmann
34,Hélio José,PMDB,15,DF,"Hélio José da Silva Lima (Corumbá de Goiás, 9 de março de 1960) é um engenheiro eletricista pela Universidade de Brasília e político brasileiro, filiado ao Partido do Movimento Democrático Brasileiro.","Em 2015, assumiu a vaga de senador pelo Distrito Federal, porque Rollemberg venceu a eleição para governador do Distrito Federal e renunciou ao mandato do Senado.",Wikipédia,senador_helio,senadorheliojose,senadorheliojose
35,Humberto Costa,PT,13,PE,"Humberto Sérgio Costa Lima (Campinas, 7 de julho de 1957) é um médico, jornalista e político brasileiro.","Foi secretário das Cidades de Pernambuco de 2007 a 2010, na gestão do governador Eduardo Campos (PSB), e ministro da Saúde no primeiro governo Lula, de 1 de janeiro de 2003 a 8 de julho de 2005.",Wikipédia,humbertocostapt,humbertocostapt,humbertocostapt
36,Ivo Cassol,PP,11,RO,"Ivo Narciso Cassol (Concórdia, SC, 20 de janeiro de 1959) é um empresário, pecuarista e político brasileiro, filho de Reditário Cassol e Elga Bergamin Cassol.",Foi prefeito de Rolim de Moura e governador de Rondônia. Integrou o PSDB e o PPS. Desde 2010 é filiado ao Partido Progressista e senador da República para o período 2011-2018.,Wikipédia,ivocassol,IVOCASSOLOFICIAL,
37,Jader Barbalho,PMDB,15,PA,"Jader Fontenelle Barbalho (Belém, 27 de outubro de 1944) é um advogado, político e empresário brasileiro. Em sua carreira política foi vereador, senador, deputado, governador do Pará e ministro do governo José Sarney.","É o pai de Helder Barbalho, ex-prefeito de Ananindeua e em 2014 candidato a governador do estado do Pará. É também ex-marido da deputada federal Elcione, filho de Laércio Wilson Barbalho, sobrinho do ator Lúcio Mauro e primo de Lúcio Mauro Filho. É casado com a deputada federal Simone Morgado.",Wikipédia,jader_barbalho,JaderpeloPara,jaderbarbalho
38,João Alberto Souza,PMDB,15,MA,"João Alberto Souza, mais conhecido apenas por João Alberto (São Vicente Ferrer, 1 de outubro de 1935), é um político brasileiro, filiado ao Partido do Movimento Democrático Brasileiro.","Foi vice-governador do Maranhão, de 17 de abril de 2009 até 31 de dezembro de 2010. Eleito senador, possui mandato até 2018.",Wikipédia,senjoaoalberto,joaoalbertoma,
39,João Capiberibe,PSB,40,AP,"João Alberto Rodrigues Capiberibe (Afuá, 6 de maio de 1947) é um político brasileiro. Atualmente exerce o mandato de senador, eleito em 2010.",Foi prefeito de Macapá de 1989 a 1992 e governador do Amapá de 1995 a 2002.,Wikipédia,joaocapi,SenadorJoaoCapiberibe,joaocapi
40,Jorge Viana,PT,13,AC,"Jorge Ney Viana Macedo Neves (Rio Branco, 20 de setembro de 1959) é um engenheiro e político brasileiro, filiado ao Partido dos Trabalhadores. Já foi 1º vice-presidente do Senado Federal.","É engenheiro florestal formado na Universidade de Brasília. Nos anos 80, prestou assessoria ao movimento dos trabalhadores rurais e seringueiros e contribuiu com a criação da Fundação de Tecnologia do Acre (Funtac), instituição de pesquisa para manejo e uso sustentável dos recursos florestais.",Wikipédia,jorgeviana,senadorjorgeviana,
