,,,,,,,,
,,,,,,,,
,,,,,,,,
,numero,nome,voto,voto add,partido,uf,proposicao,data
,69,Rose de Freitas,Sim,,PMDB,ES,plc 38 de 2017 plen,11.jul.2017
,70,Sérgio Petecão,Sim,,PSD,AC,plc 38 de 2017 plen,11.jul.2017
,71,Simone Tebet,Sim,,PMDB,MS,plc 38 de 2017 plen,11.jul.2017
,72,Tasso Jereissati,Sim,,PSDB,CE,plc 38 de 2017 plen,11.jul.2017
,73,Telmário Mota,Não,,PTB,RR,plc 38 de 2017 plen,11.jul.2017
,74,Valdir Raupp,Sim,,PMDB,RO,plc 38 de 2017 plen,11.jul.2017
,75,Vanessa Grazziotin,Não,,PCDOB,AM,plc 38 de 2017 plen,11.jul.2017
,76,Vicentinho Alves,Sim,,PR,TO,plc 38 de 2017 plen,11.jul.2017
,77,Waldemir Moka,Sim,,PMDB,MS,plc 38 de 2017 plen,11.jul.2017
,78,Wellington Fagundes,Sim,,PR,MT,plc 38 de 2017 plen,11.jul.2017
,79,Wilder Morais,Sim,,PP,GO,plc 38 de 2017 plen,11.jul.2017
,80,Zeze Perrella,Sim,,PMDB,MG,plc 38 de 2017 plen,11.jul.2017
,0,Acir Gurgacz,Sim,,PDT,RO,pec 10 de 2013 2t,31.mai.2017
,1,Aécio Neves,NCom,,PSDB,MG,pec 10 de 2013 2t,31.mai.2017
,2,Airton Sandoval,Sim,,PMDB,SP,pec 10 de 2013 2t,31.mai.2017
,3,Alvaro Dias,Sim,,PODEMOS,PR,pec 10 de 2013 2t,31.mai.2017
,4,Ana Amélia,Sim,,PP,RS,pec 10 de 2013 2t,31.mai.2017
,5,Ângela Portela,Sim,,PDT,RR,pec 10 de 2013 2t,31.mai.2017
,6,Antonio Anastasia,Sim,,PSDB,MG,pec 10 de 2013 2t,31.mai.2017
,7,Antonio Carlos Valadares,LS,,PSB,SE,pec 10 de 2013 2t,31.mai.2017
,8,Armando Monteiro,Sim,,PTB,PE,pec 10 de 2013 2t,31.mai.2017
,9,Ataídes Oliveira,P,NRV,PSDB,TO,pec 10 de 2013 2t,31.mai.2017
,10,Benedito de Lira,Sim,,PP,AL,pec 10 de 2013 2t,31.mai.2017
,11,Cássio Cunha Lima,Sim,,PSDB,PB,pec 10 de 2013 2t,31.mai.2017
,12,Cidinho Santos,Sim,,PR,MT,pec 10 de 2013 2t,31.mai.2017
,13,Ciro Nogueira,Sim,,PP,PI,pec 10 de 2013 2t,31.mai.2017
,14,Cristovam Buarque,NCom,,PPS,DF,pec 10 de 2013 2t,31.mai.2017
,15,Dalirio Beber,Sim,,PSDB,SC,pec 10 de 2013 2t,31.mai.2017
,16,Dário Berger,Sim,,PMDB,SC,pec 10 de 2013 2t,31.mai.2017
,17,Davi Alcolumbre,Sim,,DEM,AP,pec 10 de 2013 2t,31.mai.2017
,18,Edison Lobão,LS,,PMDB,MA,pec 10 de 2013 2t,31.mai.2017
,19,Eduardo Amorim,Sim,,PSDB,SE,pec 10 de 2013 2t,31.mai.2017
,20,Eduardo Braga,Sim,,PMDB,AM,pec 10 de 2013 2t,31.mai.2017
,21,Eduardo Lopes,Sim,,PRB,RJ,pec 10 de 2013 2t,31.mai.2017
,22,Elmano Férrer,Sim,,PMDB,PI,pec 10 de 2013 2t,31.mai.2017
,23,Eunício Oliveira,Presidente (art,,PMDB,CE,pec 10 de 2013 2t,31.mai.2017
,24,Fátima Bezerra,Sim,,PT ,RN,pec 10 de 2013 2t,31.mai.2017
,25,Fernando Bezerra Coelho,Sim,,PSB,PE,pec 10 de 2013 2t,31.mai.2017
,26,Fernando Collor,Sim,,PTC,AL,pec 10 de 2013 2t,31.mai.2017
,27,Flexa Ribeiro,Sim,,PSDB,PA,pec 10 de 2013 2t,31.mai.2017
,28,Garibaldi Alves Filho,Sim,,PMDB,RN,pec 10 de 2013 2t,31.mai.2017
,29,Gladson Cameli,Sim,,PP,AC,pec 10 de 2013 2t,31.mai.2017
,30,Gleisi Hoffmann,AP,,PT,PR,pec 10 de 2013 2t,31.mai.2017
,31,Hélio José,Sim,,PMDB,DF,pec 10 de 2013 2t,31.mai.2017
,32,Humberto Costa,Sim,,PT,PE,pec 10 de 2013 2t,31.mai.2017
,33,Ivo Cassol,Sim,,PP,RO,pec 10 de 2013 2t,31.mai.2017
,34,Jader Barbalho,AP,,PMDB,PA,pec 10 de 2013 2t,31.mai.2017
,35,João Alberto Souza,Sim,,PMDB,MA,pec 10 de 2013 2t,31.mai.2017
,36,João Capiberibe,Sim,,PSB,AP,pec 10 de 2013 2t,31.mai.2017
,37,Jorge Viana,Sim,,PT,AC,pec 10 de 2013 2t,31.mai.2017
,38,José Agripino,Sim,,DEM,RN,pec 10 de 2013 2t,31.mai.2017
,39,José Maranhão,Sim,,PMDB,PB,pec 10 de 2013 2t,31.mai.2017
,40,José Medeiros,Sim,,PSD ,MT,pec 10 de 2013 2t,31.mai.2017
,41,José Pimentel,Sim,,PT,CE,pec 10 de 2013 2t,31.mai.2017
,42,José Serra,Sim,,PSDB,SP,pec 10 de 2013 2t,31.mai.2017
,43,Kátia Abreu,LS,,PMDB,TO,pec 10 de 2013 2t,31.mai.2017
,44,Lasier Martins,Sim,,PSD,RS,pec 10 de 2013 2t,31.mai.2017
,45,Lídice da Mata,Sim,,PSB,BA,pec 10 de 2013 2t,31.mai.2017
,46,Lindbergh Farias,Sim,,PT,RJ,pec 10 de 2013 2t,31.mai.2017
,47,Lúcia Vânia,Abstenção,,PSB,GO,pec 10 de 2013 2t,31.mai.2017
,48,Magno Malta,Sim,,PR,ES,pec 10 de 2013 2t,31.mai.2017
,49,Maria do Carmo Alves,Sim,,DEM,SE,pec 10 de 2013 2t,31.mai.2017
,50,Marta Suplicy,Sim,,PMDB,SP,pec 10 de 2013 2t,31.mai.2017
,51,Omar Aziz,Sim,,PSD,AM,pec 10 de 2013 2t,31.mai.2017
,52,Otto Alencar,Sim,,PSD,BA,pec 10 de 2013 2t,31.mai.2017
,53,Paulo Bauer,Sim,,PSDB,SC,pec 10 de 2013 2t,31.mai.2017
,54,Paulo Paim,Sim,,PT,RS,pec 10 de 2013 2t,31.mai.2017
,55,Paulo Rocha,Sim,,PT,PA,pec 10 de 2013 2t,31.mai.2017
,56,Pedro Chaves,Sim,,PSC,MS,pec 10 de 2013 2t,31.mai.2017
,57,Raimundo Lira,Sim,,PMDB,PB,pec 10 de 2013 2t,31.mai.2017
,58,Randolfe Rodrigues,Sim,,REDE,AP,pec 10 de 2013 2t,31.mai.2017
,59,Regina Sousa,Sim,,PT,PI,pec 10 de 2013 2t,31.mai.2017
,60,Reguffe,Sim,,S/SIGLA,DF,pec 10 de 2013 2t,31.mai.2017
,61,Renan Calheiros,P,NRV,PMDB,AL,pec 10 de 2013 2t,31.mai.2017
,62,Ricardo Ferraço,Sim,,PSDB,ES,pec 10 de 2013 2t,31.mai.2017
,63,Roberto Muniz,Sim,,PP,BA,pec 10 de 2013 2t,31.mai.2017
,64,Roberto Requião,Sim,,PMDB,PR,pec 10 de 2013 2t,31.mai.2017
,65,Roberto Rocha,Sim,,PSB,MA,pec 10 de 2013 2t,31.mai.2017
,66,Romário,Sim,,PODEMOS,RJ,pec 10 de 2013 2t,31.mai.2017
,67,Romero Jucá,Sim,,PMDB,RR,pec 10 de 2013 2t,31.mai.2017
,68,Ronaldo Caiado,Sim,,DEM,GO,pec 10 de 2013 2t,31.mai.2017
,69,Rose de Freitas,Sim,,PMDB,ES,pec 10 de 2013 2t,31.mai.2017
,70,Sérgio Petecão,Sim,,PSD,AC,pec 10 de 2013 2t,31.mai.2017
,71,Simone Tebet,Sim,,PMDB,MS,pec 10 de 2013 2t,31.mai.2017
,72,Tasso Jereissati,Sim,,PSDB,CE,pec 10 de 2013 2t,31.mai.2017
,73,Telmário Mota,Sim,,PTB,RR,pec 10 de 2013 2t,31.mai.2017
,74,Valdir Raupp,Sim,,PMDB,RO,pec 10 de 2013 2t,31.mai.2017
,75,Vanessa Grazziotin,Sim,,PCDOB,AM,pec 10 de 2013 2t,31.mai.2017
,76,Vicentinho Alves,Sim,,PR,TO,pec 10 de 2013 2t,31.mai.2017
,77,Waldemir Moka,Sim,,PMDB,MS,pec 10 de 2013 2t,31.mai.2017
,78,Wellington Fagundes,Sim,,PR,MT,pec 10 de 2013 2t,31.mai.2017
,79,Wilder Morais,Sim,,PP,GO,pec 10 de 2013 2t,31.mai.2017
,80,Zeze Perrella,AP,,PMDB,MG,pec 10 de 2013 2t,31.mai.2017
,0,Acir Gurgacz,Sim,,PDT,RO,plc 39 de 2017,17.mai.2017
,1,Aécio Neves,Sim,,PSDB,MG,plc 39 de 2017,17.mai.2017
,2,Airton Sandoval,Sim,,PMDB,SP,plc 39 de 2017,17.mai.2017
,3,Alvaro Dias,Sim,,PODEMOS,PR,plc 39 de 2017,17.mai.2017
,4,Ana Amélia,Sim,,PP,RS,plc 39 de 2017,17.mai.2017
,5,Ângela Portela,P,NRV,PDT,RR,plc 39 de 2017,17.mai.2017
,6,Antonio Anastasia,Sim,,PSDB,MG,plc 39 de 2017,17.mai.2017
,7,Antonio Carlos Valadares,LS,,PSB,SE,plc 39 de 2017,17.mai.2017
,8,Armando Monteiro,Sim,,PTB,PE,plc 39 de 2017,17.mai.2017
,9,Ataídes Oliveira,Sim,,PSDB,TO,plc 39 de 2017,17.mai.2017
,10,Benedito de Lira,Sim,,PP,AL,plc 39 de 2017,17.mai.2017
,11,Cássio Cunha Lima,Sim,,PSDB,PB,plc 39 de 2017,17.mai.2017
,12,Cidinho Santos,Sim,,PR,MT,plc 39 de 2017,17.mai.2017
,13,Ciro Nogueira,Sim,,PP,PI,plc 39 de 2017,17.mai.2017
,14,Cristovam Buarque,Sim,,PPS,DF,plc 39 de 2017,17.mai.2017
,15,Dalirio Beber,Sim,,PSDB,SC,plc 39 de 2017,17.mai.2017
,16,Dário Berger,Sim,,PMDB,SC,plc 39 de 2017,17.mai.2017
,17,Davi Alcolumbre,Sim,,DEM,AP,plc 39 de 2017,17.mai.2017
,18,Edison Lobão,LS,,PMDB,MA,plc 39 de 2017,17.mai.2017
,19,Eduardo Amorim,Sim,,PSDB,SE,plc 39 de 2017,17.mai.2017
,20,Eduardo Braga,Sim,,PMDB,AM,plc 39 de 2017,17.mai.2017
,21,Eduardo Lopes,AP,,PRB,RJ,plc 39 de 2017,17.mai.2017
,22,Elmano Férrer,Sim,,PMDB,PI,plc 39 de 2017,17.mai.2017
,23,Eunício Oliveira,Presidente (art,,PMDB,CE,plc 39 de 2017,17.mai.2017
,24,Fátima Bezerra,Não,,PT ,RN,plc 39 de 2017,17.mai.2017
,25,Fernando Bezerra Coelho,MIS,,PSB,PE,plc 39 de 2017,17.mai.2017
,26,Fernando Collor,P,NRV,PTC,AL,plc 39 de 2017,17.mai.2017
,27,Flexa Ribeiro,Sim,,PSDB,PA,plc 39 de 2017,17.mai.2017
,28,Garibaldi Alves Filho,Sim,,PMDB,RN,plc 39 de 2017,17.mai.2017
,29,Gladson Cameli,Sim,,PP,AC,plc 39 de 2017,17.mai.2017
,30,Gleisi Hoffmann,Não,,PT,PR,plc 39 de 2017,17.mai.2017
,31,Hélio José,Sim,,PMDB,DF,plc 39 de 2017,17.mai.2017
,32,Humberto Costa,NCom,,PT,PE,plc 39 de 2017,17.mai.2017
,33,Ivo Cassol,Sim,,PP,RO,plc 39 de 2017,17.mai.2017
,34,Jader Barbalho,Sim,,PMDB,PA,plc 39 de 2017,17.mai.2017
,35,João Alberto Souza,Sim,,PMDB,MA,plc 39 de 2017,17.mai.2017
,36,João Capiberibe,Não,,PSB,AP,plc 39 de 2017,17.mai.2017
,37,Jorge Viana,P,NRV,PT,AC,plc 39 de 2017,17.mai.2017
,38,José Agripino,Sim,,DEM,RN,plc 39 de 2017,17.mai.2017
,39,José Maranhão,Sim,,PMDB,PB,plc 39 de 2017,17.mai.2017
,40,José Medeiros,Sim,,PSD ,MT,plc 39 de 2017,17.mai.2017
,41,José Pimentel,Sim,,PT,CE,plc 39 de 2017,17.mai.2017
,42,José Serra,Sim,,PSDB,SP,plc 39 de 2017,17.mai.2017
,43,Kátia Abreu,Sim,,PMDB,TO,plc 39 de 2017,17.mai.2017
,44,Lasier Martins,Sim,,PSD,RS,plc 39 de 2017,17.mai.2017
,45,Lídice da Mata,P,NRV,PSB,BA,plc 39 de 2017,17.mai.2017
,46,Lindbergh Farias,Não,,PT,RJ,plc 39 de 2017,17.mai.2017
,47,Lúcia Vânia,Sim,,PSB,GO,plc 39 de 2017,17.mai.2017
,48,Magno Malta,Sim,,PR,ES,plc 39 de 2017,17.mai.2017
,49,Maria do Carmo Alves,P,NRV,DEM,SE,plc 39 de 2017,17.mai.2017
,50,Marta Suplicy,Sim,,PMDB,SP,plc 39 de 2017,17.mai.2017
,51,Omar Aziz,Sim,,PSD,AM,plc 39 de 2017,17.mai.2017
,52,Otto Alencar,Sim,,PSD,BA,plc 39 de 2017,17.mai.2017
,53,Paulo Bauer,Sim,,PSDB,SC,plc 39 de 2017,17.mai.2017
,54,Paulo Paim,Sim,,PT,RS,plc 39 de 2017,17.mai.2017
,55,Paulo Rocha,Não,,PT,PA,plc 39 de 2017,17.mai.2017
,56,Pedro Chaves,NCom,,PSC,MS,plc 39 de 2017,17.mai.2017
,57,Raimundo Lira,P,NRV,PMDB,PB,plc 39 de 2017,17.mai.2017
,58,Randolfe Rodrigues,Não,,REDE,AP,plc 39 de 2017,17.mai.2017
,59,Regina Sousa,Não,,PT,PI,plc 39 de 2017,17.mai.2017
,60,Reguffe,Não,,S/SIGLA,DF,plc 39 de 2017,17.mai.2017
,61,Renan Calheiros,Sim,,PMDB,AL,plc 39 de 2017,17.mai.2017
,62,Ricardo Ferraço,Sim,,PSDB,ES,plc 39 de 2017,17.mai.2017
,63,Roberto Muniz,Sim,,PP,BA,plc 39 de 2017,17.mai.2017
,64,Roberto Requião,NCom,,PMDB,PR,plc 39 de 2017,17.mai.2017
,65,Roberto Rocha,Sim,,PSB,MA,plc 39 de 2017,17.mai.2017
,66,Romário,Sim,,PODEMOS,RJ,plc 39 de 2017,17.mai.2017
,67,Romero Jucá,Sim,,PMDB,RR,plc 39 de 2017,17.mai.2017
,68,Ronaldo Caiado,Sim,,DEM,GO,plc 39 de 2017,17.mai.2017
,69,Rose de Freitas,Sim,,PMDB,ES,plc 39 de 2017,17.mai.2017
,70,Sérgio Petecão,Sim,,PSD,AC,plc 39 de 2017,17.mai.2017
,71,Simone Tebet,Sim,,PMDB,MS,plc 39 de 2017,17.mai.2017
,72,Tasso Jereissati,Sim,,PSDB,CE,plc 39 de 2017,17.mai.2017
,73,Telmário Mota,Sim,,PTB,RR,plc 39 de 2017,17.mai.2017
,74,Valdir Raupp,Sim,,PMDB,RO,plc 39 de 2017,17.mai.2017
,75,Vanessa Grazziotin,Não,,PCDOB,AM,plc 39 de 2017,17.mai.2017
,76,Vicentinho Alves,Sim,,PR,TO,plc 39 de 2017,17.mai.2017
